,n_estimators,lr,max_features,max_depth,train acc,test acc,R2 score
153,350.0,0.125,5.0,7.0,0.9269662921348315,0.8435754189944135,0.6906417112299466
154,350.0,0.125,5.0,10.0,0.9269662921348315,0.8435754189944135,0.6906417112299466
158,350.0,0.125,7.0,7.0,0.9269662921348315,0.8435754189944135,0.6906417112299466
162,350.0,0.125,10.0,5.0,0.9269662921348315,0.8435754189944135,0.6906417112299466
168,350.0,0.125,15.0,7.0,0.9269662921348315,0.8435754189944135,0.6906417112299466
182,350.0,0.15,7.0,5.0,0.9269662921348315,0.8435754189944135,0.6906417112299466
188,350.0,0.15,10.0,7.0,0.9269662921348315,0.8435754189944135,0.6906417112299466
193,350.0,0.15,15.0,7.0,0.9269662921348315,0.8435754189944135,0.6906417112299466
194,350.0,0.15,15.0,10.0,0.9269662921348315,0.8435754189944135,0.6906417112299466
207,350.0,0.175,7.0,5.0,0.9269662921348315,0.8435754189944135,0.6906417112299466
213,350.0,0.175,10.0,7.0,0.9269662921348315,0.8435754189944135,0.6906417112299466
218,350.0,0.175,15.0,7.0,0.9269662921348315,0.8435754189944135,0.6906417112299466
227,350.0,0.2,5.0,5.0,0.9269662921348315,0.8435754189944135,0.6906417112299466
237,350.0,0.2,10.0,5.0,0.9269662921348315,0.8435754189944135,0.6906417112299466
242,350.0,0.2,15.0,5.0,0.9269662921348315,0.8435754189944135,0.6906417112299466
247,350.0,0.2,18.0,5.0,0.9269662921348315,0.8435754189944135,0.6906417112299466
254,400.0,0.1,5.0,10.0,0.9269662921348315,0.8435754189944135,0.6906417112299466
263,400.0,0.1,10.0,7.0,0.9269662921348315,0.8435754189944135,0.6906417112299466
268,400.0,0.1,15.0,7.0,0.9269662921348315,0.8435754189944135,0.6906417112299466
274,400.0,0.1,18.0,10.0,0.9269662921348315,0.8435754189944135,0.6906417112299466
293,400.0,0.125,15.0,7.0,0.9269662921348315,0.8435754189944135,0.6906417112299466
297,400.0,0.125,18.0,5.0,0.9269662921348315,0.8435754189944135,0.6906417112299466
298,400.0,0.125,18.0,7.0,0.9269662921348315,0.8435754189944135,0.6906417112299466
312,400.0,0.15,10.0,5.0,0.9269662921348315,0.8435754189944135,0.6906417112299466
314,400.0,0.15,10.0,10.0,0.9269662921348315,0.8435754189944135,0.6906417112299466
318,400.0,0.15,15.0,7.0,0.9269662921348315,0.8435754189944135,0.6906417112299466
319,400.0,0.15,15.0,10.0,0.9269662921348315,0.8435754189944135,0.6906417112299466
324,400.0,0.15,18.0,10.0,0.9269662921348315,0.8435754189944135,0.6906417112299466
327,400.0,0.175,5.0,5.0,0.9269662921348315,0.8435754189944135,0.6906417112299466
332,400.0,0.175,7.0,5.0,0.9269662921348315,0.8435754189944135,0.6906417112299466
342,400.0,0.175,15.0,5.0,0.9269662921348315,0.8435754189944135,0.6906417112299466
348,400.0,0.175,18.0,7.0,0.9269662921348315,0.8435754189944135,0.6906417112299466
352,400.0,0.2,5.0,5.0,0.9269662921348315,0.8435754189944135,0.6906417112299466
354,400.0,0.2,5.0,10.0,0.9269662921348315,0.8435754189944135,0.6906417112299466
362,400.0,0.2,10.0,5.0,0.9269662921348315,0.8435754189944135,0.6906417112299466
367,400.0,0.2,15.0,5.0,0.9269662921348315,0.8435754189944135,0.6906417112299466
368,400.0,0.2,15.0,7.0,0.9269662921348315,0.8435754189944135,0.6906417112299466
369,400.0,0.2,15.0,10.0,0.9269662921348315,0.8435754189944135,0.6906417112299466
